id_peli,titulo,genero,rating
4,Day after trinity,Accion,1.9
6,Eenfance naked childhood,Accion,7.2
8,How to survive a plague,Accion,5.6
10,The case of lucky legs,Accion,7.6
15,Dragonquest,Accion,4.2
21,Sgt kabukiman,Accion,8.6
22,Naked in new york,Accion,4.4
28,The coven,Accion,6.1
31,Floundering,Accion,7.8
32,Chance of a lifetime,Accion,6.8
35,With love,Accion,4.9
36,Questioning darwin,Accion,7.4
48,Taxi 4,Accion,6.7
51,Robot carnival,Accion,6.7
52,That touch of mink,Accion,7.1
53,47 ronin,Accion,8.4
54,Heartlands,Accion,8.8
59,1969,Accion,4.7
61,Wednesday,Accion,3.1
69,My favorite martian,Accion,6.3
70,Pirates who dont do anything,Accion,8.0
73,Deep rising,Accion,5.6
82,Rogue cop,Accion,6.5
85,Quicksilver highway,Accion,1.0
86,Creepshow 2,Accion,1.0
97,Vie en rose,Accion,1.1
100,You kill me,Accion,7.0
