id_peli,titulo,genero,rating
5,Disneyland dream,Drama,5.9
13,Fall from grace,Drama,7.6
14,Casshern,Drama,8.3
20,Boy meets boy,Drama,6.7
24,Tic code,Drama,6.2
30,Sometimes they come back,Drama,5.7
34,Yonkers joe,Drama,7.2
50,Jill the ripper,Drama,4.3
56,Minions,Drama,2.8
57,Dragon ball z,Drama,7.8
63,Invaders from mars,Drama,7.7
65,10 000 timmar,Drama,1.5
72,5 deadly venoms,Drama,5.4
74,In america,Drama,8.6
75,Big mommas like father,Drama,7.3
77,Doubt,Drama,8.2
79,Kanine,Drama,0.5
80,Surfs up,Drama,9.0
87,Je appelle elisabeth,Drama,5.2
88,200 mph,Drama,0.5
91,Take me out to the ball game,Drama,1.8
93,Ordinary decent criminal,Drama,5.6
