id_peli,titulo,genero,rating
2,Generals daughter,Terror,8.5
3,Angry silence,Terror,5.5
25,Kick ass,Terror,1.9
26,In the cut,Terror,0.6
27,Telefon,Terror,4.0
29,Dirty work,Terror,6.2
37,Designing woman,Terror,0.5
38,Battlestar galactica,Terror,0.0
39,Bone collector,Terror,1.8
42,Experiment in terror,Terror,6.0
44,Summer in berlin,Terror,3.0
58,Link,Terror,0.4
60,Flying down to rio,Terror,5.0
62,Dawn rider,Terror,3.2
66,My sassy girl,Terror,7.6
67,Mystery science theater 3000,Terror,3.1
71,Dr. jack,Terror,5.5
78,Dark horse,Terror,7.0
84,Greatest show on earth,Terror,2.5
89,Phantom,Terror,0.8
90,Cheech and chong,Terror,0.9
94,Eerie tales,Terror,3.9
95,Cloverfield,Terror,7.7
