id_peli,titulo,genero,rating
54,Heartlands,Accion,8.8
21,Sgt kabukiman,Accion,8.6
53,47 ronin,Accion,8.4
70,Pirates who dont do anything,Accion,8.0
31,Floundering,Accion,7.8
10,The case of lucky legs,Accion,7.6
36,Questioning darwin,Accion,7.4
6,Eenfance naked childhood,Accion,7.2
52,That touch of mink,Accion,7.1
100,You kill me,Accion,7.0
32,Chance of a lifetime,Accion,6.8
51,Robot carnival,Accion,6.7
48,Taxi 4,Accion,6.7
82,Rogue cop,Accion,6.5
69,My favorite martian,Accion,6.3
28,The coven,Accion,6.1
8,How to survive a plague,Accion,5.6
73,Deep rising,Accion,5.6
35,With love,Accion,4.9
59,1969,Accion,4.7
22,Naked in new york,Accion,4.4
15,Dragonquest,Accion,4.2
61,Wednesday,Accion,3.1
4,Day after trinity,Accion,1.9
97,Vie en rose,Accion,1.1
85,Quicksilver highway,Accion,1.0
86,Creepshow 2,Accion,1.0
99,Jimmy rosenberg,Comedia,8.8
17,Satans tango ,Comedia,8.3
23,American winterr,Comedia,8.0
98,Best defense,Comedia,8.0
40,Saturday night fever,Comedia,6.6
81,Carbon copy,Comedia,6.4
11,Musketeer,Comedia,6.3
76,North to alaska,Comedia,6.2
96,Way we laughed,Comedia,6.2
83,Dodge city,Comedia,6.0
92,Silent house,Comedia,4.3
49,Horrible bosses 2,Comedia,4.3
1,Docks of new york,Comedia,4.1
41,Brute the bruto,Comedia,3.8
16,North face,Comedia,3.6
47,Raiders of the lost ark,Comedia,3.5
33,The snow white murder case,Comedia,2.9
9,The man from the alamo,Comedia,2.6
12,Romantic comedy,Comedia,2.6
68,Mountaintop motel massacre,Comedia,2.4
46,36 quai des orfevres,Comedia,2.3
64,Ugly truth,Comedia,2.2
18,Chu chin chow,Comedia,2.1
45,Presidents man,Comedia,1.9
43,At the earths core,Comedia,1.8
55,Divorcee,Comedia,1.7
7,Who is john galt,Comedia,1.2
19,Cannibal holocaust,Comedia,0.4
80,Surfs up,Drama,9.0
74,In america,Drama,8.6
14,Casshern,Drama,8.3
77,Doubt,Drama,8.2
57,Dragon ball z,Drama,7.8
63,Invaders from mars,Drama,7.7
13,Fall from grace,Drama,7.6
75,Big mommas like father,Drama,7.3
34,Yonkers joe,Drama,7.2
20,Boy meets boy,Drama,6.7
24,Tic code,Drama,6.2
5,Disneyland dream,Drama,5.9
30,Sometimes they come back,Drama,5.7
93,Ordinary decent criminal,Drama,5.6
72,5 deadly venoms,Drama,5.4
87,Je appelle elisabeth,Drama,5.2
50,Jill the ripper,Drama,4.3
56,Minions,Drama,2.8
91,Take me out to the ball game,Drama,1.8
65,10 000 timmar,Drama,1.5
79,Kanine,Drama,0.5
88,200 mph,Drama,0.5
2,Generals daughter,Terror,8.5
95,Cloverfield,Terror,7.7
66,My sassy girl,Terror,7.6
78,Dark horse,Terror,7.0
29,Dirty work,Terror,6.2
42,Experiment in terror,Terror,6.0
71,Dr. jack,Terror,5.5
3,Angry silence,Terror,5.5
60,Flying down to rio,Terror,5.0
27,Telefon,Terror,4.0
94,Eerie tales,Terror,3.9
62,Dawn rider,Terror,3.2
67,Mystery science theater 3000,Terror,3.1
44,Summer in berlin,Terror,3.0
84,Greatest show on earth,Terror,2.5
25,Kick ass,Terror,1.9
39,Bone collector,Terror,1.8
90,Cheech and chong,Terror,0.9
89,Phantom,Terror,0.8
26,In the cut,Terror,0.6
37,Designing woman,Terror,0.5
58,Link,Terror,0.4
38,Battlestar galactica,Terror,0.0
